video_id,video_title,channel_name
WuT59uDRMRA,4 Mysteries Surrounding The Aztec Pyramids That Can't Be Explained,Unexplained Mysteries
fm6DhdT-wY8,Travel Warning - Avoid Europe! (Stop 007),Dr. Katherine Horton - Stop 007
ZvuepMpXVg0,"Jesus is Returning Soon, Part 2",Christ In Prophecy
mTLUdfSeUzg,Police release body Cam footage of shooting Willie Mccoy,Kevin's Corner
qLImAxJP8l8,Tariq Nasheed on The Murder of Nipsey Hussle,Tariq Radio
hQaa3uTCjbo,WHY THEY LIE PART 1,FOUNDED EARTH BROTHERS
2GKylgGMZcw,283 TRUMP'S APRIL - IT IS HOTTING UP ...,Lena Rodriguez Tarot Down Under
I-umemer8xU,"Celebrities react to Nipsey Hussle's passing (Rihanna, Drake, etc.) | Nipsey Tribute",Empressive
PzgEJZd3QqY,When the Pulpits Are Silent – Amir Tsarfati,Jan Markell
ixG7W0hErNc,The Final 7 Years with Paul Begley,Endtime
CfBBWMzko58,What Buzz Saw In Antartica Frightened Him So Bad That He Tweeted These Words...,Coffee with Jesus with Vincent Rhodes
mZN15Gy2yug,The Untold Truth Of Nipsey Hussle,Nicki Swift
vPDCfV19UWM,Flat Earth Falsities - Plane Nonsense,VoysovReason
UJSNPzS7JOM,PRESIDENT TRUMP'S COUNTER OFFENSIVE AGAINST THE DEEP STATE,Operation Freedom
nMY1e22SHxg,'The Global Lie' Movie |  Flat Earth Revelation (Full Documentary),Robbie Davidson
cKf0kNfndZE,"GOLAN TRUMP APPRECIATION LETTER GERSHON, THIRD TEMPLE, SNOW! PASSOVER PEACE OFFERING, SONGS, MOM'S F",Elijah & Moses
Uj5mgynPB7E,Flat Earth Guru Eric Dubay Gets Utterly Ruined,SciManDan
XvXv-AVlqHE,Matrix fail break down/project blue beam/planet x news 24 /CERN,Jeff P
WbEH8FyynOE,The Matrix is failing /dark chemtrails / project blue beam/Planet X News 24,Jeff P
V8JC54EukzE,THE TRUTH Behind President Trump's New Call For QE4. By Gregory Mannarino,Gregory Mannarino
4QPBVES_6Tc,WOE TO YOU TALMUDIC PHARISEES AND KABBALISTS - YOUR TIME IS SHORT,WILLING WITNESS
ljLynbr5iPc,Scientists Warn of Health Effects: Washington DC Council  5G Small Cell Roundtable,Environmental Health Trust
52FboI3FGSc,"JEFF BERWICK: Bitcoin SOARS $5,000, Russiagate Is A Joke, RECESSION WILL BE HORRIFIC!",Wealth Research Group
vPiEPRYBPcA,Markets A Look Ahead. FAILED-STATE: Stocks To Go Higher. By Gregory Mannarino,Gregory Mannarino
lEbO-yjODtQ,Did Ken Peters see a Vision of Tribulation? | Steve Cioccolanti Fact-Checks True or False Prophet?,Steve Cioccolanti & Discover TV
p81lS4bPkU8,Mind Blowing Footage of Unprecedented Nebraska Floods (SPECIAL REPORT),SHUTTERSHOT
z6trkRnenEQ,BLACK PANTHER EXPOSED: Witchcraft Served to the Black Community,Truthunedited
Q0Wo-V7tiaU,A NEW Hypothesis for the Origins of the Great Sphinx of Egypt | Ancient Architects,Ancient Architects
MliWcu0GoxM,Secret Ancient knowledge exposed,NFOPlanet
4zI6guqVqiI,The Untold Truth Of Joaquin Phoenix's Joker Movie,Looper
_vCwgVnYhi0,"2, SASQUATCH.....My Grandfathers Story.",The Facts By Howtohunt . com
lm02-c7KePk,You’re NOT Going To Like What I’m About To Say! Trouble Coming To A Church Near YOU!,Lisa Haven
BKHBUgG_YBI,Reptilian Species with Gary Wayne,Justen Faull
F3QktwZ5Ddo,The CDC Is Literally Hiding This From You To Prevent Panic…But Maybe You Should Know About It!,Lisa Haven
_sDF94-T56E,"KASAL NIYA  DAPAT NGAYON AFTER 13 YEARS. PERO SI BOY, TUMAKAS!",Raffy Tulfo in Action
hf_YYpE9U04,Bavaria is the Texas of Germany!,Kelly does her thing
AjNVJMvw7oU,Tulsi Gabbard Reacts To Julian Assange Arrest  — The Political Vigilante,Graham Elwood
oQN5RZCOT14,World Events Academia Cannot Explain,Mystery History II
VI1yRTC6kGE,Were the Pyramids Built Before the Flood? (Masoretic Text vs. Original Hebrew),NathanH83
_qRYBOUmXyY,"Atmosphere is PRIMED for an OUTBREAK today! - ""Be Ready""  (1080p)",MrMBB333
_0Z_d1nx2J0,NO MORE CRASHES IN OUR LIFETIME! Can the Fed Really Prevent the Financial Crisis?,The Money GPS
4nZsTfFCIS0,"Blacc Sam (Nipsey Hussle Brother) Honors Him At His Funeral ""You Made The Set Proud"" (FULL VIDEO)",moments
4-aOVJ_Ow5w,Something Is Happening Inside Egypt.. THEY Are Hiding It! (2019-2020),Anonymous Official
fnbdbVqysTg,America in 2019 - The Truth May Scare You!,Jason A
nWt653MkH_c,Macron on Notre Dame: 'This cathedral will be rebuilt',FRANCE 24 English
IJA6gQSyVIk,"The Ancient Watchers- The Mystery, Enchantments, Science, Arts, Technology, and The Book of Enoch",Now You See TV
M9m2CxoDmJQ,"Strange ""STATIC"" lights FILL night sky - Possibly part of something LARGER!",MrMBB333
RmN8Y8zvuFk,5 Biggest Mysteries & Secrets Surrounding The Egyptian Pyramids...,Top5s
C1H-AAr0F2E,ALBERTA ELECTION: Canadians Turn to the RIGHT!!!,Dr. Steve Turley
jLa2TFnkXNw,Something Wicked This Way Comes | Olav Philips,secretspaceprogram
8iooYg0LVsU,"The Reason Gobekli Tepe Was Buried 8,000 BC",cf-apps7865
c0CSje19RbA,South Africa's Future Timeline,ChangingParadigms
gve6xq7Cj0w,HISTORY OF EASTER: IS IT A PAGAN HOLIDAY?,Truthunedited
H43z2xAis4c,Randall Carlson - The Great Pyramid Decoded. Part 1,Sacred Geometry International
8RSCSOe2MdA,The Burning of Notre Dame Channeled | Revealing the Astrology of France,Esoteric Sky
FhjoEnG4gww,Dolores Cannon on Life After Death,Dolores Cannon
LWZzo_V1mPw,FLAT EARTH PROOF ! NASA CAUGHT LYING 2017,Buddy Huggins
IsF2q-8ez08,Pope's Video Fulfills Prophecy,AmazingFacts
YiCyhOyayyM,The Secrets of the Sphinx - Robert Schoch,Home Office
XNzFr8EOcWM,The Money System is INTENDED to Drown Us,Liberty and Finance
29NJTQ4nP2I,The Strange Prophecies of Rabbi Yitzak Kaduri (Second Coming or Something Else?),T.C. McCarthy
JReI7eXslgM,Did Nasa Spot A Ufo?  Nasas Unexplained Files,Your Discovery Science
nX7J8-VTG08,Canadian billionaire predicts end of US Dollar as world's reserve currency - Ned Goodman lecture,The Jay Martin Show
_Qzmzu9-WWE,(MIAC #200) America’s Damaged Agriculture 2019: Look for Doubling Food Prices,Adapt 2030
zZaPlrwwKAU,The Hitler Family,DandDBroadCasting39
AjWLlMTlQLw,The Cross Remains: Easter and The Burning of Notre Dame Cathedral - Fr. Jonathan Meyer - 4.21.19,All Saints Parish - We Are One
798jBCoV6y8,When You See This Happen... The End of America is Nigh,Canadian Prepper
mkGJMExlByk,Secret visit of Notre-Dame roof and frame (English) - Toute L'Histoire,Toute l'Histoire
P_jmCViCMvM,Taarifa Mbaya iliyotufikia/Majambazi Wavamia Nyumba Ya Muigizaji Hashim Kambi,ICON TV TZ
wYKsa9UmNoU,"The Third Temple, the Real Tower of Babel & 666 Fifth Avenue",Steve Cioccolanti & Discover Ministries
_29kzJXmaE0,Easter History - What your pastor doesn't want you to know! 1 of 2,TiborasaurusRex
f53f5y-8azo,"Wolves, Sasquatch, Trail Cams And A Story",The Facts By Howtohunt . com
U-9UlF8hkhs,"World In Midst of Carbon Drought (w/ Prof. William Happer, Princeton University)",Conversations That Matter
AUHigIbDHGw,"""Reality is a Simulation Within a Simulation"" |  The Singularity & Artificial Intelligence | Awaken",Higher Balance Institute
9M6A59PMOy0,Most People Believe SHTF is Coming,Canadian Prepper
vAJQaaY5P-o,6 'Impossible' Fossils That Could COMPLETELY Rewrite Human History,Beyond Science
7mmlmxamw_k,Joe Rogan on Why he changed his stance on the Moon landing conspiracy,JRE Clips
vZIC6hJ_fCE,Can we hack climate change to save us all? | Foreign Correspondent,ABC News In-depth
yEu_u2oJ818,"First Nations, Sasquatch And Stolen Carcasses",The Facts By Howtohunt . com
PylpjcNSQj8,They Devise A Method To Lure Mysterious Bigfoot Sasquatch Creature Into The Open,Homesteading Off The Grid
VCpEPg5Uk8g,The Truth May Scare You! (2019-2020),Jason A
MimPqfiwXXU,Deep Blue Mystery Mineral Inside An Abandoned Mine In Nevada,TVR Exploring
tgsKhICXjjs,"""Prophecy in Today's News"" - 4/25/2019",Mark Correll Ministries
3EiZVY1Cgsk,"The False ""Church System"" Deception",Servus Christi
ohqiFdXVcS0,She Can Get Drunk Without Alcohol!,Sid Roth's It's Supernatural!
O2OCE4etCZA,Habituation - Denied and Confirmed,Sasquatch Ontario
gVUXpk__sw8,David Paulides Missing 411 July 05 2018,Missing 411
G3SBU6DRWAk,"Forbidden Book Of Enoch: Fallen Angels, Nephilim, and Aliens?? Myth or reality?",Matrix Disclosure
Ify7PgfhgwI,Mysterious Bigfoot Sasquatch Creature Seen And Or Heard On Video Ten Times In One Week,Homesteading Off The Grid
hdcCiZAlIrI,5 Mysterious Clues That May Prove Giants Did Exist,Beyond Science
RAbELlpAxe8,Climate change: Fact or fiction? | Head to Head,Al Jazeera English
e4Pa6F03n-k,Giants! ..Friend Or Foe - History Docu,knocknockearth
yG5nisL-Eso,Are we close to the end?,Fox News
RG_SiZ8m0CM,Origins: The Firmament of Genesis 1,Cornerstone Television Network
9zNTpey21Y0,Aleister Crowley - The Great Beast 666,Biographics
AG-IwEWo-zI,The Ark of the Covenant found!!,CreationScience
fb7T1v_VHpE,The Unknowns: Mystifying UFO Cases,LEMMiNO
5z1_Mj73Du8,Shocking UN Report Warns up to a Million Species are at Risk of Extinction Due to Human Activity,Democracy Now!
-0QwdJ37Y38,What Would Happen If All Ice On Earth Melted?,Destiny
rypgeu3ObMI,Future Events Were Predicted in These Ancient Traditions!,Sid Roth's It's Supernatural!
sqV9m7smO3A,Top 20 Most Bizarre UFO Sightings | blameitonjorge,blameitonjorge
LlZYt2eM3QE,Genesis and Bible Prophecy: Apocalypse and the End Times,GOD TV
-10vg90ZIy8,15 Times The Simpsons Predicted The Future,GameSpot Universe
mp0KToAy2qo,Could Magnetic Fields Destroy The Earth?,Destiny
VKWzzYCzuLo,The Amazing Miracle Ministry of Kathryn Kuhlman,Sid Roth's It's Supernatural!
NnjJCs4YUCA,Powers Of The Mind! (What we all can actually do!),Reviews W/ Justin & Ericka 🛒
62s3FinAoC0,Meet the Targeted Individual Community,VICE
HKb86z815z0,Did an Ancient Advanced Civilization Exist Millions Of Years Ago?,Destiny
9DSjpCk4pKI,10 MIND BLOWING Secrets In US Dollars!,Secret Truths
UI8D6L-DH0A,This Prayer Will Set You Free From Addiction!,Sid Roth's It's Supernatural!
sO1O7V926s0,10 Mysterious Places That Need To Be Explained,Amerikano
wxg6124BpZw,Hells Canyon and the Ringold Formation,Central Washington University
9ay1vFfkji8,The Ark of the Covenant found!  Kent Hovind explains Ron Wyatt Ark find,Mixcatcom Pete
sa_z6SCZexw,Missing Man Taken By Bigfoot In Oregon! - Pacwest Bigfoot,Pacwest Bigfoot
IZEdPnSbRjc,Chris Hedges: Sacrifice Zones of America,The Agenda | TVO Today
oxuiB1vhDjM,Why the Megalithic Andean Architecture in Peru and the Sacred Valley is older than the INCA!,UnchartedX
8NwTFZ4z1b4,5 Most Convincing UFO Sightings Caught on Camera,FactFaction
GaUKOQ4rsdQ,David Icke discusses theories and politics with Eamonn Holmes,TalkTV
yeeA_Abd5Nk,God’s name is not Yahweh – Proof from Jewish Rabbis,A Rood Awakening!
9ngYSE-oUrA,UBR-12 The Signs of the End of Days Understanding Revelation 6-22 (12 of 20),DTBM
k2JhlBi525w,Close Encounters,Naked Science
ghoI6pWT_y8,"Bible Prophecy Update – April 28th, 2019",J.D. Farag
yQkcg1McndI,Pastor Stovall Weems Was Taken to Heaven to See This...,Sid Roth's It's Supernatural!
VTmgmJ_PfIE,The Final Pope & Project Lucifer | Tom Horn & Cris Putnam | Sid Roth's It's Supernatural!,Sid Roth's It's Supernatural!
Obr-E3LGRzw,ALERT: Silver Manipulation Whistle Blower - Bart Chilton...DEAD at 58!! (Bix Weir),RoadtoRoota
zLMg7ds_Lhs,Common Flat Earth Argument Defeated with this Picture,hiith
_9P65s1Jlqw,Have They Really Found The Giza Plateau Pyramids Construction Workers' Village?,Brien Foerster
YapTmRiVH4U,The Anthropology of Game of Thrones,TREY the Explainer
1aPWOB_Q-YY,These Miraculous Stories Will Make Your Faith Explode!,Sid Roth's It's Supernatural!
Upj5U1jx_WA,The Hidden Teachings of Jesus,The Hidden Teachings of Jesus
FqauNqFwt5I,Atlantis,Naked Science
BuKI-Sv68Yw,WATCH FOR DECEPTION--What is the Most Repeated Sign of the End of the World?,DTBM
tcM7Nzei8u4,John MacArthur Exposes Satanism,Philip Stallings
yHjuyUw4jfY,True Face Of Islam !! Must Watch!!,KABOWD INTERNATIONAL ECCLESIA
Txpmrn9LblU,BLACK HOLE Temple Found Underground? Secret Doorway to Parallel Universe?,PraveenMohan
YclKagUUMqI,"""Prophecy in Today's News"" - 4/18/2019",Mark Correll Ministries
PcPsChjUyhQ,Skinwalker Ranch Paranormal Talk Radio with George Knapp,Jay Powell
Lrd9Q8COF5Y,Notre Dame & Other Symbols Of Armageddon | Russell Brand,Russell Brand
PTZA8UaRkmg,I Was Deathly Allergic to WATER!,Sid Roth's It's Supernatural!
C7Q3uVBD9Ho,THE ROOSTER of NOTRE DAME: Omen for Europe,TheRemnantVideo
uf9fLuaHvZQ,World of Mysteries - Crop Circles and Desert Lines,Naked Science
MnXONyQI8wM,Smith Wigglesworth's Vision of an End Time Revival,Encounter Today
Rxmw9eizOAo,Joe Rogan Experience #1284 - Graham Hancock,PowerfulJRE
LHUtrWWUgR8,10 Most Incredible Things Found in Antarctica,Amazing Stock
Qgs9zJdJctw,"Joe Rogan | Humans Have Been in America of 130,000 Years?? w/Graham Hancock",JRE Clips
5uWBIi6C1FU,"Bitcoin Bull Market Arrives! ""Golden Cross"" is Happening!! (Bix Weir)",RoadtoRoota
4QLBDEKB1ZM,Jordan Maxwell - Close Encounters and other stories : A Project Avalon Interview with Bill Ryan,AlphaZebra
YgLHGZhMZJc,Dire Warning Issued By Russia: ‘They’re Coming and There May Be No Way To Stop Them!’,Lisa Haven
K9BtS-GZIFo,Notre Dame Cathedral Fire: Assessing the damage | DW News,DW News
A9QqDQndYUM,David Icke Reveals Who Controls the World!,Rob Moore
uZPwIt_qf9A,Has Your Healing Not Manifested? This May Be Why…,Sid Roth's It's Supernatural!
-XHu8vFgNrQ,Notre Dame Cathedral Fire: The world mourns the loss of a Paris icon | DW News,DW News
X4k8pdJ2so4,Graham Hancock | Ancient Civlizations,Graham Hancock Official Channel
5C3WQdHcpR0,Lost Ancient High Technology In Egypt April 2019: The Synopsis,Brien Foerster
TBHkoUSy5fA,The Pagan Egg,Zachary Bauer
CoNcRw2oLkg,The Great Australian Gold Scandal | John Adams,Liberty and Finance
lb79YD-ASsE,Hearing God Speak in Your Dreams,Sid Roth's It's Supernatural!
JoC_Z7N4fHg,Demons Loosed at cathedral fire as Notre Dame's iconic spire collapses,Paper Thin Veil
VTilOMlJYes,The History of Notre Dame - What's At Stake,Invicta
ayzl2tarmz0,DAN PEÑA - THE TRILLION DOLLAR MAN - How To Turn Your Dreams Into Reality - Part 1/2 | London Real,London Real
vDKG_WFLUi4,"Revelation: The Bride, the Beast & Babylon — Share This!",AmazingFacts
vTwQ8gulZG4,DON'T FAKE YOUR SUCCESS - Dan Peña | London Real,London Real
dwa2tJmtV9Y,𝐒𝐞𝐜𝐫𝐞𝐭 𝐒𝐨𝐮𝐧𝐝 𝐓𝐞𝐜𝐡𝐧𝐨𝐥𝐨𝐠𝐲 𝐅𝐨𝐮𝐧𝐝 𝐢𝐧 𝐈𝐧𝐝𝐢𝐚? 𝐏𝐫𝐨𝐨𝐟 𝐨𝐟 𝐀𝐝𝐯𝐚𝐧𝐜𝐞𝐝 𝐀𝐧𝐜𝐢𝐞𝐧𝐭 𝐂𝐢𝐯𝐢𝐥𝐢𝐳𝐚𝐭𝐢𝐨𝐧?,PraveenMohan
ClzDztDlQ7I,Not Your Average Gold Bull (w/ George Milling-Stanley) | Expert View,Real Vision
hjdhIIcfftU,Chris Powell - Manipulation of Gold Price Is As Evil As WWII Expropriation,Silver Bullion TV
Xy8poJAP3UQ,Multiple bombs sent to Democrats.,Kevin's Corner
cpu1BVS3Jq4,The Truth About The Afterlife That No One Wants To Face With Steven Bancarz | ItM 138,Into the Multiverse
1db-UqlBa8M,"Infinite Energy, But Not For The Masses | Andrew Johnson",GlobalBEM
B4kMZFDxREA,ELON MUSK - SON OF LUCIFER?,WILLING WITNESS
qeRaUAc9eSc,Artificial Intelligence and the Image of the Beast | Episode 921,Perry Stone
RaHO00ISseY,Exploring the Landscapes of Catastrophe Pt1: Ice Age MEGA-FLOODS w/ Randall Carlson (2016),GeoCosmic REX
6w95SQArXLk,PHYSICIST REPORT 405: NASA DISCLOSURE: FOR THOSE WHO HAVE EYES TO SEE IT,Dr. Claudia Albers PhD
ZIuZI-eZsc4,The Media Won’t Talk About This!,Jason A
RbpS8ZjahOE,Deltarune’s TIMELINE PARADOX! (Deltarune’s Ending Explained - Undertale 2 Theory),SwankyBox
zhdQPa0GUKM,China and Russia Prepare for War,Endtime
zFQG451Gnl0,"""Fiery"" EVENT In MIDDLE Of Atlantic Ocean Detected..",secureteam10
-H37d6Q2sbQ,This Millionaire Lost It All! Then He Found True Success! | Peter Hirsch,Sid Roth's It's Supernatural!
i-ghsk532OI,Steve Quayle: In Days Everything Will Be Revealed! It’s All About To Change! A New “Normal!”,Lisa Haven
c0C-qrHtlok,UFOs & AREA 51 - Secrets of the Black World - FEATURE FILM,UFOTV On Demand
eiPIvH49X-E,"Global Warming; 31,487 Scientists say NO to Alarm",1000frolly PhD
jhZWUJ38j28,Clif High speaks on Human Origins and our Aquatic Creators,Jenny Constantine
PyVHEZF-630,The Untold Truth Of Nipsey Hussle's Girlfriend,Nicki Swift
arHVX0wQps4,The Fed Admits the Economy Is WEAK and Desperate To Keep Market From COLLAPSE,The Money GPS
HsOIF3w_5eM,Is America on the Cusp of a Second Civil War?,Sid Roth's It's Supernatural!
d7I311zABCs,A Military Analysis of 300,KingEmperorPenguin
Rg0vr40iKFs,"Hyperborea,  Saturn & Hollow Earth Part 1",Greg Jay
32CBJZsYqWA,"2019 04 14 John Haller's Prophecy Update ""What is Going On?""",Fellowship Bible Chapel
xkJe9re-8AI,Chuck Missler -- Transhumanism,Calvary South Denver
oSs5AVsbRpw,"Nipsey Hussle Mother speaks April 11, 2019",Leslie Burleson
ztninkgZ0ws,Is an Ice Age Coming? | Space Time | PBS Digital Studios,PBS Space Time
dtxC3oMWp44,Aftershock: The Ancient Cataclysm That Erased Human History,Brien Foerster
8wzXMGW3q10,Notre-Dame Cathedral fire: Paris landmark ablaze as spire collapses,Channel 4 News
4KSIBFWQqsE,Hidden Bible Codes Reveal Incredible Message to Humanity! | Yacov Rambsel,Sid Roth's It's Supernatural!
WMpuSMCt23U,China & India's Most Incredible Ancient Anomalies,Mystery History II
4QSEIu6mmSs,"""Prophecy in Today's News"" - 4/11/2019",Mark Correll Ministries
F89HUPNBcuo,Kavanaugh confirmed.  I'd like to thank a few people!,Kevin's Corner
MnArQm2Bxo4,Barrie Trower  5G Will Devastate Humanity But Those Behind It Are Above The Law!,Mariann Bakken
FqcDVqmP6oI,Devil's Signature: Hurricane Michael Shaking the Power of Heaven,inTruthbyGrace
VwfEsrlEKcc,George Soros: Trump Is Destroying the New World Order!!!,Dr. Steve Turley
VAHUu3ykM3E,Warning Message From GOD In Hurricane Michael?,Shomrim Ben Yahshua
7vFXDj8RDlY,Re-Opened This Could Change Everything! 2018,thirdphaseofmoon
TFbppUBYzLU,Doomsday Cycles & Elliot Wave Theory - Decoding Revelation - Bradley Gudgeon,Leak Project
3XciOJ_OjoM,"Chemtrail Factory at Tinker Air Force Base, part 1 of 2",The HAARP Report
TpEv72Rl9ug,URGENT!! America!!  You ARE Under Attack: Michael was a Targeted Strike,inTruthbyGrace
sONLWHuYo7w,The Great Pyramid Mystery Has Been Solved,BRIGHT SIDE
m3pZaKZrlUY,Ex-Master Mason EXPOSES The Freemasons,Brother Roman
oUeaMzl9yc8,"WAKE UP, Fake Dinosaurs, Fake News, & New World Order - Eddie Bravo, Joe Rogan, Brendan Schaub",Conspiracy Box
Inpa7xU8Oe0,"10/19 Haley, Orion (Nimrod), Jerusalem, Trump, 88, NWO, Spiritual War 911!",Many Fish
S6Z34W5GGr0,Taking Jesus to Walmart! | Brian Blount,Sid Roth's It's Supernatural!
ZXMFxKnbCtI,"URGENT!!  ""Hurricane Michael"" Was a TARGETED STRIKE!!! (make copies!!)",inTruthbyGrace
mPx__QPWE9M,No More Lies! An EXCLUSIVE Discussion with Linda Moulton Howe,Higher Journeys with Alexis Brooks
50itjh0GxNY,9/5\18~2ND *MAJOR* DISCOVERY IN ANTARCTICA(!) MILE WIDE ANCIENT FORTRESS(!),Florida Maquis
PnN05TyDacY,Dutch Sheets Sharing Prophetic Word by Lana Vawser,Helen Utegaard
fvNPnGog3bo,"Aliens (Greys, Anunnaki, Reptilians) - NO LONGER ALLOWED ON EARTH",Lorie Ladd
HrAxTKQTerc,Elizabeth Nebenfuhr Important Prophetic Words for America,aminutetomidnite
_krBC-jUjiA,Did Woosley Fire Start at Nuclear Contaminated Site? NASA Satellite Imagery,Leak Project
BATjx1tOQ5k,The Believer's Hope,Real Life with Jack Hibbs
suZe5u4USmE,"THE ILLUMINATI, Robots replacing humans, Alexa - Bill Burr",Conspiracy Box
a-Zp6e16x-k,He thought it was a disc in the clouds but it was SOMETHING ELSE!,MrMBB333
eWL_uOWZI6k,🇨🇳China and Japan DUMPED EVEN MORE U.S. Debt! Is This the End of the U.S. Dollar?,The Money GPS
vwYK6CONFGw,What is Developing in Israel?,Endtime
zFRrOA4pV9U,Yuri Leitch | The British Secret Tradition and the Triangle of Michael | Megalithomania,MegalithomaniaUK
9IDV6gxqWtk,"TSR 228: Look Behind The Flames | SGT Report Host on Qanon, Wild Fires, and Election Fraud",The Sharpening Report
TYiLNwgc2aQ,Government worker shares stories of the Nephilim Giants and Government Coverups,Terry Carter
ynn8XQo0LKM,Lost Civilisation Of Atlantis Found?,Mystery History
3umF3aL-qK0,"Planet X News The Sun, Earthquakes, Earth's Shield and Climate Chaos + New Website 11/19/18",Planet X News
9wF5HR2ixDM,UPDATE: Rockslides/Mudslides probable in No Cal | Never before seen desert turns INTO ocean!,MrMBB333
W8rcT0R4YTM,The Media Won't Tell You Why The Price Of Oil Is REALLY Low,WeAreChange
fH-46i2RDBU,The Truth May Shock You! (2018-2019),Jason A
-HAGwJRQB5w,THE KNOWLEDGE OF THE FOREVER TIME (Episode 1),DAMON T. BERRY FILMMAKER
gL3frk2CUYI,Colon Health and The Dangers of Colonoscopies,Dr. John Bergman D.C.
GbWMw249xY8,The Hidden History of Humanity,Monadic Media
qRIyt8Jvp70,DARK JOURNALIST X-SERIES 38: ATLANTIS ASSASSINATIONS JOHN LENNON ERNEST HEMINGWAY & JFK MYSTERY,DarkJournalist
DxI6RWu0dcc,Chuck Missler   The Days Of Noah & Return Of The Nephilim HD,Daniel Heath
h_rgZy_iaYs,Bazda Cave Links 18 Advanced Ruins World-Wide?,Mystery History
kf9WxWJIWE8,GOLD IS WORTHLESS!(!)WHAT ~EVERYONE~ IS COMPLETELY MISSING(!)2019 COLLAPSE(!),Florida Maquis
wpLVRPJnL4M,One Man's Discovery Sinks Major Climate Study,Bill Whittle
hQ73D2DRzfM,"MUST WATCH: Black Eyed ""Beings"" Terrify Family  4/11/17",secureteam10
fC5bZXh0dTY,Most Insane Conspiracy Theories You’ll Ever Hear,Slapped Ham
tyoZZ_5gmuE,Pole Shift? | Clues from recent quakes point TOWARD the POLES!,MrMBB333
yXmkSylxkWM,JFK JR was Santa Claus | Q Anon Bush Clinton Connection | 1400 Point Market Drop,David Knight
EVrw7svZp-s,It's Called The 5G BEAST SYSTEM For A Reason (2018),Thescariestmovieever
6Kz0YT5gdDU,Mortgage Stress Goes To The Moon,Walk The World
vq23SwsZXCs,FireBall Red Sun Halo Strange Skies Turns Purple  around the world news 24 bpearthwatch,Jeff P
fqEjr7cC1LU,Where is America in Bible Prophecy?,Behold Israel with Amir Tsarfati
wHAoeRvp39Q,"I Asked Siri A ""Forbidden Question"" At 3:30 AM And This Is What She Said..",THAT IS IMPOSSIBLE
RMw_36gL_hU,"Retired Green Beret Whistleblower, JFK Assasination",MetalogiconDotCom
qokBd6Jrsf4,Linda Moulton Howe - Ufos and the Government with Richard Dolan (KGRA),Richard Dolan Intelligent Disclosure
ws12gd3YmBw,Famed NSA Whistleblowers Bill Binney & Kirk Weibe Let Loose on Declassification!,Operation Freedom
NPPQ5R80SlI,Richard Wolff | Masterfully Explains France's Yellow Vest Movement,Jamarl Thomas
3s3yIOfAQ14,12*13*18~VENEZUELA CELEBRATES POST-DOLLAR VICTORIES MEANWHILE COLOMBIAN WARLORDS THREATEN CHAOS(!),Florida Maquis
LQIwY2ByE9o,Q & A Panel at 2018 International Flat Earth Convention,dmurphy25
1ab2jZYFeGY,"Nephilim Giants found in Utah,  Brewers Cave the untold story",Terry Carter
tCHOWWcibU4,New World Order Prophecy 2019 || Third Temple Ritual Has Begun || Offering Altar,A&Ω Productions
Af9KATJ6sjI,Interview with an Ex Flat Earther: Clear Cognition,FTFE
AcKLC89inzg,The Mysterious Pentagon UFO Files & What They Mean,Unexplained Mysteries
dqg40cTl6Ks,HUBER No-Show: FAIL???,Truthification Chronicles
o-7jHlfrYfQ,ROK-16 The WORST Man who EVER Lives: Daniel Prophecy of Christ & The Anti-Christ,DTBM
6y0W2p50754,The Denver Airport Conspiracy | Five Things To Know About This Odd Airport...,Top5s
P_LI6jnM2g0,"Max Igan : ""Why Has The Great Empire Of Tartary Been Written Out Of History?"" Must Listen!",Richie Allen
Kb7t-PZ1qN4,CRTV/BLAZE TV Betrays Gavin McInnes & Michelle Malkin! Here’s Why!,The TreeHouse News
MrRX1t3n9Jk,The Role of the Illuminati's Occult Philosophy in 9/11 - Fritz Springmeier - PDX 9/11 Truth,Videos From The Underground
2lSP8SD5j6w,"2018 12 16 John Haller's Prophecy Update ""A New, New World Order?""",Fellowship Bible Chapel
cjp8mC6WlrE,How to Pray Powerful Prayers That Get Results! | Rebecca Greenwood,Sid Roth's It's Supernatural!
LQucESRF3Sg,The Minds of Men | Official Documentary by Aaron & Melissa Dykes,Truthstream Media
woKrgVJtA4w,ANONYMOUS  URGENT 3 CALAMITIES COMING ON THE EARTH,RAVEN WITH THE CROW
zO1b5PjvAwU,Bible Prophecy Update – December 16th 2018,J.D. Farag
JyUBRPu3AUM,The Incredible & Controversial Life of Dr Roger Lier | The Surgeon Who Removed Alien Implants...,Top5s
BwvJETwKPro,What Are They Hiding On Venus,secureteam10
dwQgVhtyF5A,They Tried To Silence Me...,secureteam10
J-dpdv-IWaY,I Went Back To Gravity Hill And More Strange Updates...,THAT IS IMPOSSIBLE
CjWhYOqoPUc,"MADS PALSVIG ~ ""Banksters vs. Slaves & 5G Depopulation Agenda"" [Age Of Truth TV] [HD]",Age Of Truth TV
s9JVZpf1anA,Our World in 2019 - The Scary Truth!,Jason A
_ui_arHzbUQ,PROOF That Aliens Were On The Moon 12/28/16,secureteam10
rBqp6NNdSIc,Demons Speak in Tongues Next to You in Church Counterfeiting Spiritual Gifts | Russ Dizdar,David Heavener - Last Evangelist
ZefGx6Uxw-4,FULL EPISODE: Revelations From Alien Encounters,Gaia
